Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,96.510002,96.930000,95.639999,96.610001,92.946213,2664935
2021-12-06,96.620003,97.690002,96.190002,97.239998,93.552322,2142812
2021-12-07,98.000000,98.230003,96.760002,97.629997,93.927528,1866694
2021-12-08,98.260002,98.919998,97.010002,97.949997,94.235397,2474246
2021-12-09,98.120003,98.570000,97.529999,98.160004,94.437439,1745841
2021-12-10,97.800003,98.559998,97.559998,97.900002,94.187294,1710318
2021-12-13,98.300003,99.279999,97.739998,98.029999,94.312363,1772633
2021-12-14,97.029999,98.389999,96.849998,97.540001,93.840950,1888180
2021-12-15,97.379997,98.000000,96.510002,96.930000,93.254082,1829146
2021-12-16,96.680000,97.364998,96.290001,96.790001,93.119392,2773830
2021-12-17,97.169998,99.480003,97.050003,99.120003,95.361031,7120915
2021-12-20,98.650002,99.199997,98.029999,99.199997,95.437996,1714077
2021-12-21,99.540001,100.000000,99.000000,99.589996,95.813202,1828187
2021-12-22,99.800003,99.915001,99.209999,99.779999,95.995995,1653355
2021-12-23,100.000000,100.589996,99.760002,100.110001,96.313484,992730
2021-12-24,100.580002,101.139999,100.580002,100.629997,96.813759,888168
2021-12-29,101.419998,102.370003,101.370003,101.900002,98.035606,1548336
2021-12-30,102.000000,102.580002,101.709999,102.269997,98.391563,1015385
2021-12-31,102.269997,102.665001,101.000000,101.000000,97.169731,1198104
2022-01-04,102.000000,102.820000,101.300003,102.510002,98.622467,2195465
2022-01-05,103.279999,103.480003,102.620003,103.199997,99.286293,2086996
2022-01-06,102.800003,103.129997,99.779999,99.970001,96.178795,2603548
2022-01-07,101.989998,102.870003,101.889999,102.650002,98.757156,2596039
2022-01-10,102.870003,103.320000,102.080002,103.320000,99.401749,1467407
2022-01-11,102.519997,102.889999,100.620003,101.760002,97.900917,2346000
2022-01-12,102.150002,102.480003,100.820000,101.580002,97.727737,1557284
2022-01-13,101.900002,102.440002,101.690002,102.120003,98.247261,1639007
2022-01-14,101.760002,102.650002,100.500000,100.849998,97.025414,2155504
2022-01-17,101.849998,101.849998,100.809998,101.160004,97.323662,1467142
2022-01-18,101.000000,101.230003,100.599998,100.790001,96.967697,1264465
2022-01-19,100.389999,100.629997,98.830002,99.330002,95.563065,2638102
2022-01-20,98.139999,99.050003,97.650002,98.610001,94.870369,2895501
2022-01-21,97.809998,98.309998,97.010002,97.370003,93.677391,3593016
2022-01-24,97.000000,98.070000,96.699997,97.440002,93.744736,1889354
2022-01-25,96.709999,97.150002,93.870003,95.449997,91.830200,5802823
2022-01-27,96.050003,97.820000,93.010002,93.779999,90.223541,5359270
2022-01-28,94.760002,96.010002,92.370003,95.669998,92.041862,13796397
2022-01-31,95.010002,95.230003,93.739998,93.739998,90.185051,3146452
2022-02-01,94.150002,94.989998,93.220001,93.930000,90.367851,2611835
2022-02-02,94.500000,95.070000,94.220001,94.739998,91.147125,2078320
2022-02-03,93.500000,94.889999,92.610001,93.440002,89.896431,3331673
2022-02-04,92.940002,94.099998,92.820000,94.099998,90.531403,3237852
2022-02-07,93.400002,94.209999,92.440002,94.000000,90.435196,3137168
2022-02-08,93.070000,94.629997,92.949997,94.300003,90.723824,2890934
2022-02-09,99.010002,99.889999,97.910004,99.559998,95.784340,5436704
2022-02-10,100.000000,100.779999,98.639999,100.779999,96.958069,4167883
2022-02-11,99.419998,100.180000,98.330002,98.550003,94.812645,3457229
2022-02-14,98.300003,100.510002,98.199997,100.040001,96.246140,2578374
2022-02-15,99.080002,100.349998,98.930000,99.489998,95.716995,2667416
2022-02-16,98.410004,98.820000,97.540001,98.570000,96.529816,3647780
2022-02-17,98.589996,99.309998,98.139999,98.809998,96.764847,2591681
2022-02-18,98.000000,98.580002,97.410004,97.750000,95.726784,2361575
2022-02-21,96.949997,98.339996,96.239998,98.089996,96.059746,1968627
2022-02-22,96.360001,96.830002,95.050003,96.040001,94.052177,2688137
2022-02-23,96.040001,96.949997,95.809998,96.690002,94.688728,2267917
2022-02-24,95.919998,96.220001,94.440002,94.709999,92.749710,3504427
2022-02-25,95.620003,95.900002,93.529999,93.879997,91.936882,4902678
2022-02-28,94.279999,94.940002,92.540001,93.459999,91.525581,10046963
2022-03-01,94.010002,96.235001,93.889999,94.820000,92.857430,2320712
2022-03-02,92.589996,95.199997,92.589996,94.699997,92.739914,3049670
2022-03-03,95.260002,95.449997,94.139999,94.510002,92.553848,4427098
2022-03-04,94.800003,95.050003,93.459999,94.599998,92.641983,3169612
2022-03-07,94.250000,94.849998,93.650002,94.639999,92.681160,3315111
2022-03-08,94.599998,96.239998,94.410004,95.589996,93.611488,3711886
2022-03-09,95.250000,97.790001,94.879997,97.410004,95.393829,2627749
2022-03-10,98.250000,99.919998,98.099998,99.739998,97.675598,3458497
